Index,Name,Area,Review_Date,Rating_attribute,Rating(Out of 10),Review_Text
766,Pullman New Delhi Aerocity- International Airport,"South West, New Delhi",Jul-23,Excellent Stay,9, · I had issues multiple time with by billing  on food and stay
767,Pullman New Delhi Aerocity- International Airport,"South West, New Delhi",Jul-23,"If you're staying near the airport, this is probably the place to stay.",8,"The rooms were quiet, the facilities were clean and the beds were very comfortable."
768,Frank Stay By Hotel Preet in 05 mints walking Distance Nizamuddin Railway Station,"South Delhi, New Delhi",Aug-23,Exceptional,10,Their staff is really friendly and welcoming. Rooms and washrooms are clean and their foods are excellent. Better than expected. Near Railway Station.
769,Frank Stay By Hotel Preet in 05 mints walking Distance Nizamuddin Railway Station,"South Delhi, New Delhi",Aug-23,Superb,9,Very clean. Staff is very friendly and high mannered.
770,Frank Stay By Hotel Preet in 05 mints walking Distance Nizamuddin Railway Station,"South Delhi, New Delhi",Aug-23,Superb,9,I had a wonderful experience at the hotel and very friendly staff.
771,Frank Stay By Hotel Preet in 05 mints walking Distance Nizamuddin Railway Station,"South Delhi, New Delhi",Aug-23,Exceptional,10,Food is really nice. Friendly staff. Very supportive staff.
772,Frank Stay By Hotel Preet in 05 mints walking Distance Nizamuddin Railway Station,"South Delhi, New Delhi",Aug-23,Exceptional,10,"Nice hôtel, close to a market place!
Very nice staff, really hepfull"
773,Frank Stay By Hotel Preet in 05 mints walking Distance Nizamuddin Railway Station,"South Delhi, New Delhi",Aug-23,Very good,8, · Room ventilation is not proper.
774,Frank Stay By Hotel Preet in 05 mints walking Distance Nizamuddin Railway Station,"South Delhi, New Delhi",Aug-23,Awesome ❤️,10,Very good management and staff were very helpful Location was near by nizamuddin railway station
775,Frank Stay By Hotel Preet in 05 mints walking Distance Nizamuddin Railway Station,"South Delhi, New Delhi",Aug-23,Good value for money hotel with nice spacious family room,8,Our family room was spacious and clean.  The staff were nice and service oriented. Room service was also good
776,Frank Stay By Hotel Preet in 05 mints walking Distance Nizamuddin Railway Station,"South Delhi, New Delhi",Aug-23,Superb,9,"Rooms are very nice here. The most important thing which i liked here is food and service, staff is very professional and helpful. Also i noticed that they have maintained good hygiene."
777,Frank Stay By Hotel Preet in 05 mints walking Distance Nizamuddin Railway Station,"South Delhi, New Delhi",Aug-23,Exceptional,10,Service and embience
778,Hyatt Centric Janakpuri New Delhi,"Janakpuri, New Delhi",Mar-23,Had a nice experience!,10,Elegant and luxurious. Breakfast is just excellent.
779,Hyatt Centric Janakpuri New Delhi,"Janakpuri, New Delhi",Aug-23,the team try hard to please but the property is tired.,5,"the property if convenient for me with my office close by , the team in the restaurant try hard to please but not in the right manner"
780,Hyatt Centric Janakpuri New Delhi,"Janakpuri, New Delhi",Aug-23,Pleasant,6,The rooms
781,Hyatt Centric Janakpuri New Delhi,"Janakpuri, New Delhi",Jul-23,Could have been better with,5,Location is next to metro. Room size is good. Pool facing rooms are much better.
782,Hyatt Centric Janakpuri New Delhi,"Janakpuri, New Delhi",Aug-23,Good,7,Room is spacious and comfortable..love love love the location and the washroom. Everything was too good. Must visit and have enough time to enjoy all the facilities.
783,Hyatt Centric Janakpuri New Delhi,"Janakpuri, New Delhi",Aug-23,It's Good value for money property with proper location,7,The spread and taste of the breakfast 😋 👌
784,Hyatt Centric Janakpuri New Delhi,"Janakpuri, New Delhi",Aug-23,Very good,8, · Staff service were ok
785,Hyatt Centric Janakpuri New Delhi,"Janakpuri, New Delhi",Jun-23,Big rooms with below part furniture,8,Size of the room
786,Hyatt Centric Janakpuri New Delhi,"Janakpuri, New Delhi",Jul-23,Pleasant,6, · Delayed processess
787,Hyatt Centric Janakpuri New Delhi,"Janakpuri, New Delhi",Jul-23,Passable,5,Breakfast was good.
788,Hotel Jageer Palace,"West Delhi, New Delhi",May-23,Exceptional,10,Nice hotel but bed room not clean
789,Hotel Jageer Palace,"West Delhi, New Delhi",Aug-23,Pleasant,6, · Blanket are not clean n even pillows n no dental kit washroom is nit proper working they said they will change the room but they don't
790,Hotel Jageer Palace,"West Delhi, New Delhi",Jun-23,Pleasant,6,"Everything was great about the property however ac was not working, which is the only thing we did not like. Has to sleep with fan only and it was very hot.  But staff,food, location, is good😊"
791,Hotel Jageer Palace,"West Delhi, New Delhi",May-23,Value for money but check-in process took timr,8,"Room. In house kitchen, restaurant"
792,Hotel Jageer Palace,"West Delhi, New Delhi",Jan-23,Value for ur Money.,7,Location & service.
793,Hotel Jageer Palace,"West Delhi, New Delhi",Jan-23,Pleasant,6, · Not work tv  &  not issue  PLAID
794,Hotel Jageer Palace,"West Delhi, New Delhi",Jan-23,Very good,8,Hotel staff is really good and it's in the main market.
795,Hotel Jageer Palace,"West Delhi, New Delhi",Aug-23,Bad,1,"Nothing, Staff is poor, rooms are bad, too much noise and music unnecessarily and disturbance by the staff."
796,Hotel Jageer Palace,"West Delhi, New Delhi",Aug-23,Pathetic Property,2,Only the location
797,Hotel Jageer Palace,"West Delhi, New Delhi",Jun-23,Very poor,2, · Quality of the room was not up to the mark...
798,Roomshala 032 Hotel Silver Key - Dwarka Sector 9,"Dwarka, New Delhi",Jul-23,Superb,9,"Recently I was in Delhi for some work, luckily I got a hotel in Dwaka. And that is very nice hotel I got"
799,Roomshala 032 Hotel Silver Key - Dwarka Sector 9,"Dwarka, New Delhi",Aug-23,Bad,1, no comments available for this review
800,Roomshala 032 Hotel Silver Key - Dwarka Sector 9,"Dwarka, New Delhi",Jun-23,Awosme ❤️,9, no comments available for this review
801,Roomshala 032 Hotel Silver Key - Dwarka Sector 9,"Dwarka, New Delhi",Jun-23,It was Amezing 🫶,9, no comments available for this review
802,Roomshala 032 Hotel Silver Key - Dwarka Sector 9,"Dwarka, New Delhi",Jun-23,Bad,1, no comments available for this review
803,Roomshala 032 Hotel Silver Key - Dwarka Sector 9,"Dwarka, New Delhi",May-23,Pleasant,6, no comments available for this review
804,Thikana Delhi ( Boutique B&B),"South Delhi, New Delhi",May-23,Exceptional,10,"I live everything about this amazing place
.in fact, I don't even want pple to know about it cuz it will be so booked up that  I won't get a booking for my next visit, lol"
805,Thikana Delhi ( Boutique B&B),"South Delhi, New Delhi",Aug-23,Good overall if the issues above can be sorted out,8,"Comfortable
Very helpful kitchen staff esp Chotu
Breakfast high quality"
806,Thikana Delhi ( Boutique B&B),"South Delhi, New Delhi",Apr-23,Superb,9,Breakfast
807,Thikana Delhi ( Boutique B&B),"South Delhi, New Delhi",Jun-23,Exceptional,10,"Loved the delicious breakfast, the kind hospitality of Atul, Sheetal, and their staff, and the very comfortable room and bed"
808,Thikana Delhi ( Boutique B&B),"South Delhi, New Delhi",May-23,Exceptional,10,"Thikana is like a home away from home, it's cozy and one of the best places I have stayed. The staff is friendly and the owner is a delight (please make sure to meet her during your stay)."
809,Thikana Delhi ( Boutique B&B),"South Delhi, New Delhi",May-23,Great stay,9,Lovely comfy bed and bedding. A warm welcome.
810,Thikana Delhi ( Boutique B&B),"South Delhi, New Delhi",May-23,As a solo traveler it is a safe haven!,10,Beautiful interiors. Homely and comfortable. A place to meet other travellers. Nicely appointed rooms with comfortable beds! Rooftop terrace to chill-out. Fabulous hosts. Great breakfast. Absolutely love everything about it so much so I always stay here at the start and end of trip..
811,Thikana Delhi ( Boutique B&B),"South Delhi, New Delhi",May-23,"Perfect, Thankyou x",10,"The location was perfectly quiet, the owners an absolute delight! The breakfast was just what I needed each morning I honestly couldn’t fault it at all - I got some beautiful suggestions of things to do and can see myself staying anywhere but here whilst in dehli!"
812,Thikana Delhi ( Boutique B&B),"South Delhi, New Delhi",Apr-23,Exceptional,10,"Beautiful property , centrally located with warm and caring hosts and great food."
813,Thikana Delhi ( Boutique B&B),"South Delhi, New Delhi",Apr-23,Namasté 🙏,10,felt like visiting friends
814,Hindustan by Backpackers Heaven Near New Delhi Railway Station,"Paharganj, New Delhi",May-23,Exceptional,10,"The Hotel was extremely wonderful with super friendly staff and only 10 minutes walking distance from New Delhi train station .
Shoutout for old Delhi food tour with Sonal."
815,Hindustan by Backpackers Heaven Near New Delhi Railway Station,"Paharganj, New Delhi",Aug-23,Very good,8,It’s at a prime location in delhi and also very clean and comfortable stay . I had planned to live for 2 days and ended up staying more than a week
816,Hindustan by Backpackers Heaven Near New Delhi Railway Station,"Paharganj, New Delhi",Aug-23,You can’t control the AC of your room. Everytime you’ve to tell the receptionist to switch on the AC and they close aa p,7,"The room is very spacious, bed is very large and comfortable."
817,Hindustan by Backpackers Heaven Near New Delhi Railway Station,"Paharganj, New Delhi",Aug-23,Superb,9,Beautiful Room with good space ❤️❤️
818,Hindustan by Backpackers Heaven Near New Delhi Railway Station,"Paharganj, New Delhi",Jul-23,Happy Days,9,I was having a hard time booking my trains but these guys helped me to book all my trains with no extra cost .
819,Hindustan by Backpackers Heaven Near New Delhi Railway Station,"Paharganj, New Delhi",Jun-23,Very good,8,"Facilities, Property and Rooms"
820,Hindustan by Backpackers Heaven Near New Delhi Railway Station,"Paharganj, New Delhi",Jun-23,Overall Nice Stay,9,"Overall the place was neat and clean with very attentive staff. For the price we have paid , we must say it was satisfactory.
Recommended"
821,Hindustan by Backpackers Heaven Near New Delhi Railway Station,"Paharganj, New Delhi",Nov-22,Superb,9,The staff
822,Hindustan by Backpackers Heaven Near New Delhi Railway Station,"Paharganj, New Delhi",Sep-22,Very good,8,Staff was very co-operative and friendly.
823,Hindustan by Backpackers Heaven Near New Delhi Railway Station,"Paharganj, New Delhi",Jul-23,100 % safe hostel,10,"I had a great time in a hindustan hostel. 
The staff was very nice and kind. The dorms were clean and comfortable.They helped me with  the sim card and my travel plans which I needed very much.I couldn't accept the airport transfer from the hostel which was not a good idea and I got a scam by the taxi driver who took me to a fake tourist office where they told me everything is close due to flood and covid and u cannot entry the area which was not true. I highly recommend it"
824,Hotel Rosewood Near Delhi Airport,"South West, New Delhi",Apr-23,Exceptional,10,"After busing for a day, it was a relief and total pleasure to be greeted and welcomed by cheerful, enthusiastic staff! The rooms at this hotel are well appointed and creatively decorated, and the plumbing excellent - it works as intended! 😀🙏
This was a very comfortable stay and the Food by room service was very scrummy!
Thank you to the wonderful staff!"
825,Hotel Rosewood Near Delhi Airport,"South West, New Delhi",Jun-23,Very bad,6,. Nothing
826,Hotel Rosewood Near Delhi Airport,"South West, New Delhi",Apr-23,Very good,8,room was comfortable and receptionist was also a good person
827,Hotel Rosewood Near Delhi Airport,"South West, New Delhi",Apr-23,good but can be better,7,I booked this hotel for my parents for 2 nights stay near Delhi airport. the staffs were good. the room looked nice.
828,Hotel Rosewood Near Delhi Airport,"South West, New Delhi",Apr-23,Ok,6,"The Staff was nice boys,  their English very bad, but they did their best,  they are children 🤭😅"
829,Hotel Rosewood Near Delhi Airport,"South West, New Delhi",Apr-23,Very good,8,Location and cleanliness
830,Hotel Rosewood Near Delhi Airport,"South West, New Delhi",Mar-23,good for a short term stay when wanting to fly home,8,it was in a pretty quiet street near airport
831,Hotel Rosewood Near Delhi Airport,"South West, New Delhi",Mar-23,Good,7,"Environment was ok 
Room was ok
The hotel is new 
So hygiene wise it's worth the money"
832,Hotel Rosewood Near Delhi Airport,"South West, New Delhi",Mar-23,Good,7,The room was clean and the bed comfy with a Hot shower.
833,Hotel Rosewood Near Delhi Airport,"South West, New Delhi",Mar-23,Very good,8,Satisfied service. I like it.
834,Hotel Red Castle - Karol Bagh,"Karol bagh, New Delhi",Aug-22,"Amazing Stay, Very nice Staff and very comfortable room..",10,"it was an amazing stay over there. Staff was super friendly and cooperative. The ambience of the hotel is amazing and rooms are very nice and receptionist are very courteous. The food was nice, hotel location is very convenient near by Karol Bagh metro station. Thank you team Hotel Red Castle."
835,Hotel Red Castle - Karol Bagh,"Karol bagh, New Delhi",Aug-23,Great room condition,9,"This is very good hotel.. Service minded staff, helpful with almost everything. Quality of the room was great, enough space and well cleaned.."
836,Hotel Red Castle - Karol Bagh,"Karol bagh, New Delhi",Aug-23,Perfect hotel,9,"Excellent hotel, The property is well maintaind and location is definitely a plus. we enjoyed our stay. the room service staff are good and well co-operative. Very well furnished room.. we sure will recommend this property with all.."
837,Hotel Red Castle - Karol Bagh,"Karol bagh, New Delhi",Aug-23,"good rooms, good location and good staff",9,"Very good hotel, large rooms, comfortable bed, great breakfast, all staff are very friendly as usual, yet very professional.. Really recommended.."
838,Hotel Red Castle - Karol Bagh,"Karol bagh, New Delhi",Aug-23,Very good,8,Good staff and easy accessibility to nearby areas
839,Hotel Red Castle - Karol Bagh,"Karol bagh, New Delhi",Aug-23,Well maintained,9,Had a extremely nice stay at Red Castle. Great hotel and extremely helpful staff. Will love to stay here again. The rooms was well appointed and and a lovely hotel.. All facilities in hotel excellent...
840,Hotel Red Castle - Karol Bagh,"Karol bagh, New Delhi",Aug-23,Amazing hotel experience,9,"Very nice hotel. Staff attentive to the smallest desires. I recommend this establishment with joy. Good welcome, excellent and plentiful breakfast. Great location. What happiness for a relaxing stay..."
841,Hotel Red Castle - Karol Bagh,"Karol bagh, New Delhi",Jul-23,Staff are lovely and caring,9,"Had a great stay as the staff was extremely hospitable and making our stay memorable! Nice and clean, very beautiful hotel.. The rooms were spacious and well maintained..  Enjoyable stay!"
842,Hotel Red Castle - Karol Bagh,"Karol bagh, New Delhi",Jul-23,Outstanding Service & Comfort,9,"This hotel is wonderful. I was pleasantly surprised by the quality of the rooms and services. It's always a great experience, and the price made it a fantastic.."
843,Hotel Red Castle - Karol Bagh,"Karol bagh, New Delhi",Jul-23,Accomodation price is higher than of its competitor of similar facilities,8,Location
844,Hotel Aura,"Paharganj, New Delhi",Mar-21,Exceptional,10,hygienic environment of hotel and polite behaviour of staff member.
845,Hotel Aura,"Paharganj, New Delhi",Jul-23,Good,6,Yes
846,Hotel Aura,"Paharganj, New Delhi",Jul-23,Superb,9,Clean & interior
847,Hotel Aura,"Paharganj, New Delhi",Jul-23,Very good,8,Break fast was not included in my booking. They charged 250 extra for it.
848,Hotel Aura,"Paharganj, New Delhi",Jul-23,Superb,9,Room service & cleanliness
849,Hotel Aura,"Paharganj, New Delhi",Jul-23,This time Worst stay,6,Breakfast and wifi was good.
850,Hotel Aura,"Paharganj, New Delhi",Jun-23,Overall nice experience,9,Nice interior and location.
851,Hotel Aura,"Paharganj, New Delhi",Jun-23,Pleasant,6," · The kettle, blankets and the towel provided were stinking"
852,Hotel Aura,"Paharganj, New Delhi",Jun-23,It was over all good food quality can be better,9,It was good
853,Hotel Aura,"Paharganj, New Delhi",May-23,Pleasant,6,"Room was ok but Bathroom shower not working, Staff does not respond when a customer order them for services."
854,J House near Bhikaji,"South Delhi, New Delhi",Feb-23,"Great value, friendly people. Totally recommended.",10,"J House was a very nice place to stay in. The staff were very welcoming and friendly, check in took 5 minutes and we got our room which was very clean and tidy. It was a great deal compared to the price paid. It was very quiet and you can get a very good sleep after a long day roaming Delhi. Would totally recommend this place."
855,J House near Bhikaji,"South Delhi, New Delhi",Aug-23,Very good,8,"I stayed only 1 night. It was fine: clean, comfy, close to the airport."
856,J House near Bhikaji,"South Delhi, New Delhi",Aug-23,Exceptional,10,I had a lovely time at Jhouse and appreciated how well the staff looked after me. The roof top is amazing and if it wasn’t so hot I would have spent my entire time there.
857,J House near Bhikaji,"South Delhi, New Delhi",May-23,Good place for the female traveler,8,"Excellent staff, the boy always wear the smile and willing to help 
Safe place for the female travelers"
858,J House near Bhikaji,"South Delhi, New Delhi",Aug-23,Clean and comfortable stay,10,Comfortable stay. Among many hostels i find J house very clean. You get to meet like minded travelers as well. Staffs are very supportive.
859,J House near Bhikaji,"South Delhi, New Delhi",Aug-23,Helpful Staffs,10,Everything. Ujjol and shwapan dada is very helpful and friendly. If possible in summer extend air conditioner timing please. Thank you!
860,J House near Bhikaji,"South Delhi, New Delhi",Aug-23,Superb,9,"We stayed in the deluxe room, which was extremely comfy, a good sized bathroom and nicely decorated.  Lovely having kettle & coffee, chai sachets + freely available cold water. The staff were super friendly and helpful. The kitchen had everything you could need - stove, micro, toaster, fridge, plates, cutlery and was clean and tidy. The common room was comfy with some books/guitar, but as everyone else says, the rooftop was the highlight with the plants, comfy seats, fans & plants  - loved sitting there to read or eat one of our many Zomato orders. The hostel is located in a typical Indian neighborhood which I found fab, loved seeing the hustle & bustle. It's pretty close to the airport which is handy, and quite a few attractions."
861,J House near Bhikaji,"South Delhi, New Delhi",Aug-23,Superb,9,"The rooftop is really nice.
My room was good too"
862,J House near Bhikaji,"South Delhi, New Delhi",Aug-23,Superb,9,"The personnel is really friendly and helpfull.
The location is good, the accomodation is nice"
863,J House near Bhikaji,"South Delhi, New Delhi",Aug-23,Exceptional,10,Everything about the place ...
864,FabHotel Majestic JPM I,"South Delhi, New Delhi",Jun-23,Exceptional,10,· it was clean room and staff was good
865,FabHotel Majestic JPM I,"South Delhi, New Delhi",Aug-23,Superb,9,View and cleanliness and good location
866,FabHotel Majestic JPM I,"South Delhi, New Delhi",Aug-23,Superb,9,the properly was clean and comfortable at good location
867,FabHotel Majestic JPM I,"South Delhi, New Delhi",Aug-23,Superb,9,The staff was very friendly
868,FabHotel Majestic JPM I,"South Delhi, New Delhi",Jul-23,Superb,9,The property is perfectly located at a secluded place
869,FabHotel Majestic JPM I,"South Delhi, New Delhi",Jun-23,Superb,9,breakfast was good and tasty very good
870,FabHotel Majestic JPM I,"South Delhi, New Delhi",Jun-23,Superb,9,"Nice location, staffs are good in behaviour ."
871,FabHotel Majestic JPM I,"South Delhi, New Delhi",Apr-23,I could have expected better.,7, · The music played till 12.30pm during the second night .....
872,FabHotel Majestic JPM I,"South Delhi, New Delhi",Apr-23,Very good,8,Everything
873,FabHotel Majestic JPM I,"South Delhi, New Delhi",Apr-23,Very good,8,Food quality good
874,Qotel Jasola Vihar,"Jasola, New Delhi",Jun-23,The things are good cooperative staff,10,Love to stay budget friendly good atmosphere
875,Qotel Jasola Vihar,"Jasola, New Delhi",Aug-23,Good rooms,8,Nice atmosphere
876,Qotel Jasola Vihar,"Jasola, New Delhi",Aug-23,Awesome stay,9,Awsome
877,Qotel Jasola Vihar,"Jasola, New Delhi",Aug-23,Good rooms,9,Good stay love to stay
878,Qotel Jasola Vihar,"Jasola, New Delhi",Aug-23,All good,9,Overall is good Qotel great work but prefect example of hospitality
879,Qotel Jasola Vihar,"Jasola, New Delhi",Aug-23,Absolutely beautiful place,9,Interior was good overall stay is good must Visit the property good staff prefect facilities for guest
880,Qotel Jasola Vihar,"Jasola, New Delhi",Jul-23,Budget friendly,9,Staff is good overall stay is good
881,Qotel Jasola Vihar,"Jasola, New Delhi",Jul-23,Nice stay,9,Rooms are good
882,Qotel Jasola Vihar,"Jasola, New Delhi",Jun-23,Good,7,. Room decoration was good.
883,Qotel Jasola Vihar,"Jasola, New Delhi",Aug-23,Bad,1,"Room service poor, tv not working, room size was a match box ,got new room but that was not cleaned."
884,Hindustan by Backpackers Heaven Near New Delhi Railway Station,"Paharganj, New Delhi",May-23,Exceptional,10,"The Hotel was extremely wonderful with super friendly staff and only 10 minutes walking distance from New Delhi train station .
Shoutout for old Delhi food tour with Sonal."
885,Hindustan by Backpackers Heaven Near New Delhi Railway Station,"Paharganj, New Delhi",Aug-23,Very good,8,It’s at a prime location in delhi and also very clean and comfortable stay . I had planned to live for 2 days and ended up staying more than a week
886,Hindustan by Backpackers Heaven Near New Delhi Railway Station,"Paharganj, New Delhi",Aug-23,You can’t control the AC of your room. Everytime you’ve to tell the receptionist to switch on the AC and they close aa p,7,"The room is very spacious, bed is very large and comfortable."
887,Hindustan by Backpackers Heaven Near New Delhi Railway Station,"Paharganj, New Delhi",Aug-23,Superb,9,Beautiful Room with good space ❤️❤️
888,Hindustan by Backpackers Heaven Near New Delhi Railway Station,"Paharganj, New Delhi",Jul-23,Happy Days,9,I was having a hard time booking my trains but these guys helped me to book all my trains with no extra cost .
889,Hindustan by Backpackers Heaven Near New Delhi Railway Station,"Paharganj, New Delhi",Jun-23,Very good,8,"Facilities, Property and Rooms"
890,Hindustan by Backpackers Heaven Near New Delhi Railway Station,"Paharganj, New Delhi",Jun-23,Overall Nice Stay,9,"Overall the place was neat and clean with very attentive staff. For the price we have paid , we must say it was satisfactory.
Recommended"
891,Hindustan by Backpackers Heaven Near New Delhi Railway Station,"Paharganj, New Delhi",Nov-22,Superb,9,The staff
892,Hindustan by Backpackers Heaven Near New Delhi Railway Station,"Paharganj, New Delhi",Sep-22,Very good,8,Staff was very co-operative and friendly.
893,Hindustan by Backpackers Heaven Near New Delhi Railway Station,"Paharganj, New Delhi",Jul-23,100 % safe hostel,10,"I had a great time in a hindustan hostel. 
The staff was very nice and kind. The dorms were clean and comfortable.They helped me with  the sim card and my travel plans which I needed very much.I couldn't accept the airport transfer from the hostel which was not a good idea and I got a scam by the taxi driver who took me to a fake tourist office where they told me everything is close due to flood and covid and u cannot entry the area which was not true. I highly recommend it"
894,Hotel Rosewood Near Delhi Airport,"South West, New Delhi",Apr-23,Exceptional,10,"After busing for a day, it was a relief and total pleasure to be greeted and welcomed by cheerful, enthusiastic staff! The rooms at this hotel are well appointed and creatively decorated, and the plumbing excellent - it works as intended! 😀🙏
This was a very comfortable stay and the Food by room service was very scrummy!
Thank you to the wonderful staff!"
895,Hotel Rosewood Near Delhi Airport,"South West, New Delhi",Jun-23,Very bad,6,. Nothing
896,Hotel Rosewood Near Delhi Airport,"South West, New Delhi",Apr-23,Very good,8,room was comfortable and receptionist was also a good person
897,Hotel Rosewood Near Delhi Airport,"South West, New Delhi",Apr-23,good but can be better,7,I booked this hotel for my parents for 2 nights stay near Delhi airport. the staffs were good. the room looked nice.
898,Hotel Rosewood Near Delhi Airport,"South West, New Delhi",Apr-23,Ok,6,"The Staff was nice boys,  their English very bad, but they did their best,  they are children 🤭😅"
899,Hotel Rosewood Near Delhi Airport,"South West, New Delhi",Apr-23,Very good,8,Location and cleanliness
900,Hotel Rosewood Near Delhi Airport,"South West, New Delhi",Mar-23,good for a short term stay when wanting to fly home,8,it was in a pretty quiet street near airport
901,Hotel Rosewood Near Delhi Airport,"South West, New Delhi",Mar-23,Good,7,"Environment was ok 
Room was ok
The hotel is new 
So hygiene wise it's worth the money"
902,Hotel Rosewood Near Delhi Airport,"South West, New Delhi",Mar-23,Good,7,The room was clean and the bed comfy with a Hot shower.
903,Hotel Rosewood Near Delhi Airport,"South West, New Delhi",Mar-23,Very good,8,Satisfied service. I like it.
904,Hotel Royal Saffron,"West Delhi, New Delhi",Jul-22,The stay experience was really good and everything hygeinic,10,The stay experience was really good and everything hygeinic
905,Hotel Royal Saffron,"West Delhi, New Delhi",Mar-23,Pleasant,6,Location
906,Hotel Royal Saffron,"West Delhi, New Delhi",Oct-22,Pleasant,6,Location is good
907,Hotel Royal Saffron,"West Delhi, New Delhi",Jul-22,Excellent,8,Very good hotel & I really appreciate the staff behaviour & everything in the hotel is satisfactory.I recommend this hotel ..Thanks for the good service
908,Hotel Royal Saffron,"West Delhi, New Delhi",Aug-23,Exceptional,10,Good property
909,Hotel Royal Saffron,"West Delhi, New Delhi",Aug-23,Exceptional,10,"Breakfast was very good, i like the food quality and as i am in rush for my meeting, so i request hotel staff to get me the breakfast before their standard time and they did which is a big thumbs up for me"
910,Hotel Royal Saffron,"West Delhi, New Delhi",Aug-23,Not recommended,3,Room size is okay
911,Hotel Royal Saffron,"West Delhi, New Delhi",Aug-23,Exceptional,10,Good
912,Hotel Royal Saffron,"West Delhi, New Delhi",Aug-23,Exceptional,10,Good Service
913,Hotel Royal Saffron,"West Delhi, New Delhi",Jul-23,Bad,1,This hotel money waste
914,Hotel Red Castle - Karol Bagh,"Karol bagh, New Delhi",Aug-22,"Amazing Stay, Very nice Staff and very comfortable room..",10,"it was an amazing stay over there. Staff was super friendly and cooperative. The ambience of the hotel is amazing and rooms are very nice and receptionist are very courteous. The food was nice, hotel location is very convenient near by Karol Bagh metro station. Thank you team Hotel Red Castle."
915,Hotel Red Castle - Karol Bagh,"Karol bagh, New Delhi",Aug-23,Great room condition,9,"This is very good hotel.. Service minded staff, helpful with almost everything. Quality of the room was great, enough space and well cleaned.."
916,Hotel Red Castle - Karol Bagh,"Karol bagh, New Delhi",Aug-23,Perfect hotel,9,"Excellent hotel, The property is well maintaind and location is definitely a plus. we enjoyed our stay. the room service staff are good and well co-operative. Very well furnished room.. we sure will recommend this property with all.."
917,Hotel Red Castle - Karol Bagh,"Karol bagh, New Delhi",Aug-23,"good rooms, good location and good staff",9,"Very good hotel, large rooms, comfortable bed, great breakfast, all staff are very friendly as usual, yet very professional.. Really recommended.."
918,Hotel Red Castle - Karol Bagh,"Karol bagh, New Delhi",Aug-23,Very good,8,Good staff and easy accessibility to nearby areas
919,Hotel Red Castle - Karol Bagh,"Karol bagh, New Delhi",Aug-23,Well maintained,9,Had a extremely nice stay at Red Castle. Great hotel and extremely helpful staff. Will love to stay here again. The rooms was well appointed and and a lovely hotel.. All facilities in hotel excellent...
920,Hotel Red Castle - Karol Bagh,"Karol bagh, New Delhi",Aug-23,Amazing hotel experience,9,"Very nice hotel. Staff attentive to the smallest desires. I recommend this establishment with joy. Good welcome, excellent and plentiful breakfast. Great location. What happiness for a relaxing stay..."
921,Hotel Red Castle - Karol Bagh,"Karol bagh, New Delhi",Jul-23,Staff are lovely and caring,9,"Had a great stay as the staff was extremely hospitable and making our stay memorable! Nice and clean, very beautiful hotel.. The rooms were spacious and well maintained..  Enjoyable stay!"
922,Hotel Red Castle - Karol Bagh,"Karol bagh, New Delhi",Jul-23,Outstanding Service & Comfort,9,"This hotel is wonderful. I was pleasantly surprised by the quality of the rooms and services. It's always a great experience, and the price made it a fantastic.."
923,Hotel Red Castle - Karol Bagh,"Karol bagh, New Delhi",Jul-23,Accomodation price is higher than of its competitor of similar facilities,8,Location
924,J House near Bhikaji,"South Delhi, New Delhi",Feb-23,"Great value, friendly people. Totally recommended.",10,"J House was a very nice place to stay in. The staff were very welcoming and friendly, check in took 5 minutes and we got our room which was very clean and tidy. It was a great deal compared to the price paid. It was very quiet and you can get a very good sleep after a long day roaming Delhi. Would totally recommend this place."
925,J House near Bhikaji,"South Delhi, New Delhi",Aug-23,Very good,8,"I stayed only 1 night. It was fine: clean, comfy, close to the airport."
926,J House near Bhikaji,"South Delhi, New Delhi",Aug-23,Exceptional,10,I had a lovely time at Jhouse and appreciated how well the staff looked after me. The roof top is amazing and if it wasn’t so hot I would have spent my entire time there.
927,J House near Bhikaji,"South Delhi, New Delhi",May-23,Good place for the female traveler,8,"Excellent staff, the boy always wear the smile and willing to help 
Safe place for the female travelers"
928,J House near Bhikaji,"South Delhi, New Delhi",Aug-23,Clean and comfortable stay,10,Comfortable stay. Among many hostels i find J house very clean. You get to meet like minded travelers as well. Staffs are very supportive.
929,J House near Bhikaji,"South Delhi, New Delhi",Aug-23,Helpful Staffs,10,Everything. Ujjol and shwapan dada is very helpful and friendly. If possible in summer extend air conditioner timing please. Thank you!
930,J House near Bhikaji,"South Delhi, New Delhi",Aug-23,Superb,9,"We stayed in the deluxe room, which was extremely comfy, a good sized bathroom and nicely decorated.  Lovely having kettle & coffee, chai sachets + freely available cold water. The staff were super friendly and helpful. The kitchen had everything you could need - stove, micro, toaster, fridge, plates, cutlery and was clean and tidy. The common room was comfy with some books/guitar, but as everyone else says, the rooftop was the highlight with the plants, comfy seats, fans & plants  - loved sitting there to read or eat one of our many Zomato orders. The hostel is located in a typical Indian neighborhood which I found fab, loved seeing the hustle & bustle. It's pretty close to the airport which is handy, and quite a few attractions."
931,J House near Bhikaji,"South Delhi, New Delhi",Aug-23,Superb,9,"The rooftop is really nice.
My room was good too"
932,J House near Bhikaji,"South Delhi, New Delhi",Aug-23,Superb,9,"The personnel is really friendly and helpfull.
The location is good, the accomodation is nice"
933,J House near Bhikaji,"South Delhi, New Delhi",Aug-23,Exceptional,10,Everything about the place ...
